age,prior_offenses,employment_status,education_level,drug_history,marital_status,housing_stability,mental_health_issues,age_at_first_offense,community_support,employment_type,reoffended,predicted_risk
33,1,unemployed,college,0,single,stable,0,26,medium,part_time,0,0.31651634
28,2,unemployed,high_school,0,single,stable,0,17,medium,full_time,0,0.6664871
35,1,employed,high_school,1,divorced,stable,0,20,medium,unemployed,1,0.8601111
42,5,unemployed,high_school,1,single,unstable,1,11,low,full_time,1,0.98909247
28,1,employed,college,0,married,unstable,0,17,high,unemployed,0,0.45252216
28,4,employed,none,0,single,unstable,0,21,medium,unemployed,1,0.9979808
42,2,employed,high_school,0,divorced,stable,0,10,medium,unemployed,1,0.60378796
36,0,employed,high_school,0,single,stable,0,22,high,unemployed,1,0.33859882
26,1,unemployed,high_school,0,married,stable,1,26,high,unemployed,1,0.86354977
34,3,unemployed,high_school,0,single,stable,0,23,medium,unemployed,1,0.89411914
26,2,employed,college,0,married,stable,0,23,low,full_time,0,0.601082
26,3,unemployed,none,0,single,stable,0,25,high,full_time,1,0.94127756
31,3,unemployed,high_school,0,single,unstable,1,26,medium,unemployed,1,0.93488145
18,1,employed,none,1,single,stable,0,15,high,full_time,1,0.9182233
18,0,unemployed,none,0,married,unstable,0,16,high,unemployed,1,0.91654795
25,1,employed,high_school,0,single,unstable,0,10,low,unemployed,0,0.8598634
21,4,unemployed,high_school,0,married,stable,1,24,high,full_time,1,0.99468863
32,2,employed,high_school,0,single,unstable,0,29,medium,unemployed,0,0.51138836
22,4,employed,high_school,1,married,stable,0,27,medium,full_time,0,0.6271025
18,3,employed,none,0,divorced,unstable,0,22,low,full_time,1,0.98274773
41,2,unemployed,high_school,0,married,stable,0,11,high,part_time,1,0.52125186
28,3,employed,college,0,single,unstable,0,28,medium,full_time,1,0.9373449
30,2,employed,college,1,single,stable,0,24,medium,part_time,0,0.43792868
18,2,employed,high_school,0,single,unstable,0,21,high,part_time,1,0.6659219
25,2,unemployed,high_school,0,single,stable,1,24,medium,full_time,0,0.68859243
30,3,employed,college,0,married,stable,0,27,medium,unemployed,0,0.52785116
20,1,employed,none,0,married,unstable,0,23,high,part_time,1,0.7285156
33,2,employed,college,0,divorced,unstable,0,15,medium,full_time,1,0.8967996
25,3,employed,college,0,single,stable,0,21,high,full_time,1,0.91937983
27,2,unemployed,none,0,married,stable,1,29,high,unemployed,1,0.90940017
25,0,unemployed,none,1,single,stable,0,15,medium,unemployed,1,0.8801394
44,1,employed,college,0,married,unstable,0,18,medium,full_time,0,0.29590502
29,2,employed,high_school,0,single,unstable,1,13,low,full_time,1,0.98012745
21,2,unemployed,none,0,single,unstable,0,26,medium,unemployed,1,0.9913282
36,1,employed,high_school,1,single,stable,1,11,medium,part_time,1,0.9804772
20,0,unemployed,high_school,0,married,stable,0,25,medium,full_time,1,0.71249306
31,5,unemployed,high_school,1,divorced,stable,1,23,low,part_time,1,0.9929662
18,2,unemployed,college,0,single,unstable,0,17,low,full_time,1,0.95376515
19,1,employed,college,0,single,stable,0,23,low,unemployed,0,0.33651236
31,2,employed,high_school,0,single,unstable,1,11,low,full_time,1,0.97103834
35,0,unemployed,high_school,0,married,stable,0,25,medium,full_time,0,0.47674474
31,2,employed,high_school,1,single,stable,0,13,low,full_time,1,0.94584715
29,1,unemployed,high_school,1,married,stable,0,10,low,unemployed,1,0.94072336
27,3,employed,none,0,divorced,stable,1,29,low,unemployed,1,0.92100346
18,4,unemployed,college,0,divorced,stable,0,23,medium,unemployed,1,0.9907928
24,2,employed,college,1,single,stable,1,17,high,part_time,1,0.7834365
26,0,employed,high_school,0,married,stable,0,12,low,full_time,0,0.5715911
38,2,employed,high_school,0,married,unstable,0,14,medium,unemployed,1,0.65006447
32,2,unemployed,high_school,0,single,stable,1,15,medium,full_time,1,0.8694513
18,3,unemployed,high_school,0,married,stable,0,17,low,unemployed,1,0.94387585
32,5,employed,high_school,0,married,stable,0,15,medium,full_time,1,0.96215564
26,2,employed,high_school,0,single,stable,0,15,low,full_time,1,0.9520684
24,3,unemployed,college,0,single,unstable,0,13,medium,part_time,1,0.95112395
34,3,employed,high_school,0,single,stable,0,16,low,unemployed,1,0.9479599
38,2,employed,high_school,0,married,unstable,1,28,high,unemployed,1,0.8118487
37,5,employed,college,0,single,stable,0,16,low,part_time,1,0.83231616
23,2,employed,none,1,divorced,stable,0,12,medium,full_time,1,0.947457
27,5,employed,high_school,0,married,stable,0,17,high,unemployed,1,0.9781924
32,0,employed,high_school,0,married,stable,0,10,low,full_time,1,0.6277446
37,1,employed,high_school,1,single,stable,0,10,medium,unemployed,1,0.9314385
26,1,employed,college,1,married,unstable,1,23,medium,part_time,1,0.9792214
28,2,employed,high_school,0,single,stable,0,15,medium,full_time,1,0.78350633
21,1,employed,college,0,single,stable,0,19,low,full_time,0,0.45717654
20,1,employed,high_school,1,married,stable,0,23,low,full_time,1,0.5153654
36,0,unemployed,high_school,1,single,stable,0,13,medium,full_time,1,0.942691
40,3,employed,college,1,married,stable,1,15,medium,full_time,1,0.921383
29,3,employed,high_school,1,single,stable,0,25,medium,full_time,1,0.80258495
38,0,employed,high_school,0,single,stable,0,10,low,full_time,0,0.43528894
32,1,employed,high_school,0,single,stable,0,15,medium,part_time,0,0.65850353
24,2,employed,high_school,0,divorced,stable,0,18,medium,unemployed,0,0.55651647
32,5,employed,none,0,married,unstable,0,24,medium,full_time,1,0.98943275
42,1,unemployed,high_school,0,married,stable,0,21,medium,full_time,1,0.45384628
29,3,employed,high_school,0,single,stable,1,12,low,full_time,1,0.96568143
42,0,unemployed,high_school,0,single,unstable,1,20,low,part_time,1,0.81677896
18,2,employed,college,1,divorced,stable,0,24,low,unemployed,0,0.41051212
36,1,employed,high_school,0,single,stable,0,12,medium,part_time,1,0.68524903
30,1,employed,college,0,single,stable,0,23,low,unemployed,1,0.3246961
27,2,employed,none,0,married,stable,1,11,medium,part_time,1,0.8828966
30,2,employed,high_school,0,single,stable,1,13,medium,part_time,0,0.8173335
18,1,unemployed,college,1,married,unstable,0,28,medium,full_time,0,0.5052266
28,1,employed,high_school,0,married,unstable,0,21,medium,unemployed,1,0.52826434
32,1,unemployed,college,1,single,unstable,0,11,low,unemployed,1,0.97114885
41,1,unemployed,high_school,0,single,unstable,0,26,medium,part_time,1,0.26954
25,3,employed,none,0,single,stable,0,12,high,unemployed,1,0.98382336
23,2,employed,high_school,0,married,stable,0,19,medium,full_time,0,0.47222167
25,5,employed,high_school,0,married,unstable,0,25,medium,unemployed,1,0.98596317
37,1,employed,college,1,single,unstable,0,18,high,full_time,1,0.8379093
32,3,employed,high_school,0,single,stable,0,20,medium,full_time,1,0.77052295
25,2,employed,college,1,married,unstable,0,24,low,full_time,1,0.95701885
34,3,employed,college,0,married,stable,0,12,medium,unemployed,0,0.6116139
30,3,employed,high_school,1,single,stable,0,25,low,unemployed,1,0.877895
37,3,unemployed,high_school,0,single,stable,0,21,medium,unemployed,1,0.91678715
24,0,unemployed,college,1,single,stable,0,14,medium,unemployed,0,0.5563535
27,3,unemployed,college,0,married,stable,0,16,medium,full_time,1,0.93909943
26,2,employed,high_school,0,divorced,stable,0,18,medium,unemployed,1,0.67559594
18,1,employed,high_school,0,single,stable,0,27,medium,unemployed,1,0.44032085
32,2,employed,high_school,1,married,stable,0,17,medium,part_time,1,0.67133725
32,3,employed,high_school,0,single,stable,0,21,high,full_time,1,0.7882553
