age,prior_offenses,employment_status,education_level,drug_history,marital_status,housing_stability,mental_health_issues,age_at_first_offense,community_support,employment_type,reoffended
33,1,unemployed,college,0,single,stable,0,26,medium,part_time,0
28,2,unemployed,high_school,0,single,stable,0,17,medium,full_time,0
35,1,employed,high_school,1,divorced,stable,0,20,medium,unemployed,1
42,5,unemployed,high_school,1,single,unstable,1,11,low,full_time,1
28,1,employed,college,0,married,unstable,0,17,high,unemployed,0
28,4,employed,none,0,single,unstable,0,21,medium,unemployed,1
42,2,employed,high_school,0,divorced,stable,0,10,medium,unemployed,1
36,0,employed,high_school,0,single,stable,0,22,high,unemployed,1
26,1,unemployed,high_school,0,married,stable,1,26,high,unemployed,1
34,3,unemployed,high_school,0,single,stable,0,23,medium,unemployed,1
26,2,employed,college,0,married,stable,0,23,low,full_time,0
26,3,unemployed,none,0,single,stable,0,25,high,full_time,1
31,3,unemployed,high_school,0,single,unstable,1,26,medium,unemployed,1
18,1,employed,none,1,single,stable,0,15,high,full_time,1
18,0,unemployed,none,0,married,unstable,0,16,high,unemployed,1
25,1,employed,high_school,0,single,unstable,0,10,low,unemployed,0
21,4,unemployed,high_school,0,married,stable,1,24,high,full_time,1
32,2,employed,high_school,0,single,unstable,0,29,medium,unemployed,0
22,4,employed,high_school,1,married,stable,0,27,medium,full_time,0
18,3,employed,none,0,divorced,unstable,0,22,low,full_time,1
41,2,unemployed,high_school,0,married,stable,0,11,high,part_time,1
28,3,employed,college,0,single,unstable,0,28,medium,full_time,1
30,2,employed,college,1,single,stable,0,24,medium,part_time,0
18,2,employed,high_school,0,single,unstable,0,21,high,part_time,1
25,2,unemployed,high_school,0,single,stable,1,24,medium,full_time,0
30,3,employed,college,0,married,stable,0,27,medium,unemployed,0
20,1,employed,none,0,married,unstable,0,23,high,part_time,1
33,2,employed,college,0,divorced,unstable,0,15,medium,full_time,1
25,3,employed,college,0,single,stable,0,21,high,full_time,1
27,2,unemployed,none,0,married,stable,1,29,high,unemployed,1
25,0,unemployed,none,1,single,stable,0,15,medium,unemployed,1
44,1,employed,college,0,married,unstable,0,18,medium,full_time,0
29,2,employed,high_school,0,single,unstable,1,13,low,full_time,1
21,2,unemployed,none,0,single,unstable,0,26,medium,unemployed,1
36,1,employed,high_school,1,single,stable,1,11,medium,part_time,1
20,0,unemployed,high_school,0,married,stable,0,25,medium,full_time,1
31,5,unemployed,high_school,1,divorced,stable,1,23,low,part_time,1
18,2,unemployed,college,0,single,unstable,0,17,low,full_time,1
19,1,employed,college,0,single,stable,0,23,low,unemployed,0
31,2,employed,high_school,0,single,unstable,1,11,low,full_time,1
35,0,unemployed,high_school,0,married,stable,0,25,medium,full_time,0
31,2,employed,high_school,1,single,stable,0,13,low,full_time,1
29,1,unemployed,high_school,1,married,stable,0,10,low,unemployed,1
27,3,employed,none,0,divorced,stable,1,29,low,unemployed,1
18,4,unemployed,college,0,divorced,stable,0,23,medium,unemployed,1
24,2,employed,college,1,single,stable,1,17,high,part_time,1
26,0,employed,high_school,0,married,stable,0,12,low,full_time,0
38,2,employed,high_school,0,married,unstable,0,14,medium,unemployed,1
32,2,unemployed,high_school,0,single,stable,1,15,medium,full_time,1
18,3,unemployed,high_school,0,married,stable,0,17,low,unemployed,1
32,5,employed,high_school,0,married,stable,0,15,medium,full_time,1
26,2,employed,high_school,0,single,stable,0,15,low,full_time,1
24,3,unemployed,college,0,single,unstable,0,13,medium,part_time,1
34,3,employed,high_school,0,single,stable,0,16,low,unemployed,1
38,2,employed,high_school,0,married,unstable,1,28,high,unemployed,1
37,5,employed,college,0,single,stable,0,16,low,part_time,1
23,2,employed,none,1,divorced,stable,0,12,medium,full_time,1
27,5,employed,high_school,0,married,stable,0,17,high,unemployed,1
32,0,employed,high_school,0,married,stable,0,10,low,full_time,1
37,1,employed,high_school,1,single,stable,0,10,medium,unemployed,1
26,1,employed,college,1,married,unstable,1,23,medium,part_time,1
28,2,employed,high_school,0,single,stable,0,15,medium,full_time,1
21,1,employed,college,0,single,stable,0,19,low,full_time,0
20,1,employed,high_school,1,married,stable,0,23,low,full_time,1
36,0,unemployed,high_school,1,single,stable,0,13,medium,full_time,1
40,3,employed,college,1,married,stable,1,15,medium,full_time,1
29,3,employed,high_school,1,single,stable,0,25,medium,full_time,1
38,0,employed,high_school,0,single,stable,0,10,low,full_time,0
32,1,employed,high_school,0,single,stable,0,15,medium,part_time,0
24,2,employed,high_school,0,divorced,stable,0,18,medium,unemployed,0
32,5,employed,none,0,married,unstable,0,24,medium,full_time,1
42,1,unemployed,high_school,0,married,stable,0,21,medium,full_time,1
29,3,employed,high_school,0,single,stable,1,12,low,full_time,1
42,0,unemployed,high_school,0,single,unstable,1,20,low,part_time,1
18,2,employed,college,1,divorced,stable,0,24,low,unemployed,0
36,1,employed,high_school,0,single,stable,0,12,medium,part_time,1
30,1,employed,college,0,single,stable,0,23,low,unemployed,1
27,2,employed,none,0,married,stable,1,11,medium,part_time,1
30,2,employed,high_school,0,single,stable,1,13,medium,part_time,0
18,1,unemployed,college,1,married,unstable,0,28,medium,full_time,0
28,1,employed,high_school,0,married,unstable,0,21,medium,unemployed,1
32,1,unemployed,college,1,single,unstable,0,11,low,unemployed,1
41,1,unemployed,high_school,0,single,unstable,0,26,medium,part_time,1
25,3,employed,none,0,single,stable,0,12,high,unemployed,1
23,2,employed,high_school,0,married,stable,0,19,medium,full_time,0
25,5,employed,high_school,0,married,unstable,0,25,medium,unemployed,1
37,1,employed,college,1,single,unstable,0,18,high,full_time,1
32,3,employed,high_school,0,single,stable,0,20,medium,full_time,1
25,2,employed,college,1,married,unstable,0,24,low,full_time,1
34,3,employed,college,0,married,stable,0,12,medium,unemployed,0
30,3,employed,high_school,1,single,stable,0,25,low,unemployed,1
37,3,unemployed,high_school,0,single,stable,0,21,medium,unemployed,1
24,0,unemployed,college,1,single,stable,0,14,medium,unemployed,0
27,3,unemployed,college,0,married,stable,0,16,medium,full_time,1
26,2,employed,high_school,0,divorced,stable,0,18,medium,unemployed,1
18,1,employed,high_school,0,single,stable,0,27,medium,unemployed,1
32,2,employed,high_school,1,married,stable,0,17,medium,part_time,1
32,3,employed,high_school,0,single,stable,0,21,high,full_time,1
30,0,employed,high_school,0,single,unstable,0,29,medium,part_time,1
28,2,unemployed,college,1,single,stable,0,11,high,unemployed,1
18,0,unemployed,none,0,married,stable,0,19,low,unemployed,1
26,0,employed,none,0,single,stable,0,28,medium,unemployed,0
27,2,employed,high_school,0,married,stable,0,18,low,unemployed,1
23,1,employed,high_school,0,single,unstable,0,17,low,unemployed,1
28,0,employed,high_school,1,single,stable,0,10,high,unemployed,0
33,1,employed,high_school,1,single,unstable,0,15,high,unemployed,1
45,2,employed,high_school,0,married,stable,0,21,low,full_time,1
31,3,employed,none,1,single,stable,1,28,low,part_time,1
32,4,unemployed,high_school,0,married,stable,0,26,low,part_time,1
29,2,employed,college,0,single,stable,0,11,high,unemployed,1
18,2,unemployed,high_school,0,single,stable,0,20,low,full_time,1
29,2,employed,high_school,0,single,stable,1,27,low,full_time,1
30,0,employed,high_school,0,single,stable,0,20,low,full_time,1
49,2,employed,college,1,single,stable,0,27,medium,part_time,0
28,3,employed,high_school,1,single,unstable,1,17,high,part_time,1
32,1,employed,high_school,0,married,stable,0,24,low,full_time,0
29,6,unemployed,college,0,married,stable,1,18,medium,full_time,1
20,1,unemployed,high_school,1,single,stable,1,24,low,full_time,1
39,3,employed,none,1,single,stable,0,16,medium,full_time,0
